,date,pm25,pm10,o3,no2,so2,co,AQI_PM25,AQI_PM10,AQI
394,6/15/2020,60,44,6,4,5,6,100,44,100
395,6/16/2020,64,48,5,4,5,7,111.2413793,48,111.2413793
396,6/17/2020,69,46,5,4,5,11,128.3103448,46,128.3103448
397,6/18/2020,65,53,6,4,5,8,114.6551724,53,114.6551724
398,6/19/2020,74,48,7,4,5,3,145.3793103,48,145.3793103
399,6/20/2020,69,43,6,3,5,6,128.3103448,43,128.3103448
400,6/21/2020,66,37,6,4,5,2,118.0689655,37,118.0689655
401,6/22/2020,60,47,9,4,5,3,100,47,100
402,6/23/2020,79,49,8,4,4,3,162.4482759,49,162.4482759
403,6/24/2020,75,40,8,8,5,4,148.7931034,40,148.7931034
404,6/25/2020,73,30,7,5,3,2,141.9655172,30,141.9655172
